Index,Name,C,M,Y,K,Count
0,darkslategray,0.9855,0.1884,0.0,0.7294,74
1,midnightblue,0.9636,0.2545,0.0,0.7843,70
2,cornflowerblue,0.5024,0.1517,0.0,0.1725,53
3,skyblue,0.4529,0.1211,0.0,0.1255,39
4,skyblue,0.3712,0.083,0.0,0.102,37
5,steelblue,0.607,0.2139,0.0,0.2118,26
6,steelblue,0.6461,0.2416,0.0,0.302,68
7,steelblue,0.6747,0.2651,0.0,0.349,78
8,cadetblue,0.4762,0.1217,0.0,0.2588,49
9,steelblue,0.4936,0.1346,0.0,0.3882,41
10,slategray,0.4892,0.1439,0.0,0.4549,39
11,dimgray,0.4701,0.1026,0.0,0.5412,35
12,cadetblue,0.5227,0.142,0.0,0.3098,32
13,steelblue,0.7124,0.3007,0.0,0.4,31
14,darkslategray,0.6838,0.265,0.0,0.5412,35
15,darkslategray,0.5979,0.2887,0.0,0.6196,35
16,darkslategray,0.6625,0.1875,0.0,0.6863,40
17,lightblue,0.3333,0.0708,0.0,0.0588,21
18,paleturquoise,0.2439,0.0447,0.0,0.0353,32
19,lightslategray,0.2749,0.076,0.0,0.3294,7
20,darkslategray,0.5397,0.2222,0.0,0.7529,24
21,darkslategray,0.3298,0.1277,0.0,0.6314,31
22,dimgray,0.0,0.3511,0.0532,0.6314,14
23,indianred,0.0,0.4951,0.6078,0.2,5
24,dimgray,0.0,0.0,0.0187,0.5804,22
25,sienna,0.0,0.5473,0.5068,0.4196,17
26,gray,0.0,0.3439,0.3121,0.3843,13
27,seagreen,0.5378,0.0,0.4622,0.5333,17
28,tan,0.0,0.1327,0.2449,0.2314,4
29,mediumseagreen,0.7169,0.0,0.2349,0.349,15
30,seagreen,0.4234,0.0,0.3504,0.4627,17
31,olivedrab,0.0709,0.0,0.5816,0.4471,3
