Index,Name,C,M,Y,K,Count
0,dimgray,0.0,0.1496,0.3307,0.502,410
1,darkolivegreen,0.0,0.13,0.28,0.6078,283
2,gray,0.0,0.1622,0.3446,0.4196,499
3,darkolivegreen,0.0,0.1481,0.3086,0.6824,427
4,darkolivegreen,0.0,0.2895,0.4868,0.702,1882
5,saddlebrown,0.0,0.3659,0.5854,0.5176,1155
6,darkslategray,0.0,0.2787,0.4754,0.7608,1597
7,darkslategray,0.2586,0.2414,0.0,0.7725,1722
8,darkslategray,0.3137,0.2941,0.0,0.8,1308
9,black,0.0,0.5,0.76,0.8039,1272
10,rosybrown,0.0,0.1446,0.3253,0.349,454
11,rosybrown,0.0,0.1237,0.2903,0.2706,261
12,darkslategray,0.2388,0.209,0.0,0.7373,1478
13,darkslategray,0.2436,0.1923,0.0,0.6941,967
14,darkslategray,0.1778,0.1222,0.0,0.6471,820
15,dimgray,0.1604,0.1038,0.0,0.5843,507
16,black,0.0,0.3966,0.6379,0.7725,1578
17,sienna,0.0,0.3677,0.5871,0.3922,941
18,slategray,0.1473,0.062,0.0,0.4941,319
19,saddlebrown,0.0,0.3818,0.6091,0.5686,1230
20,sienna,0.0,0.3333,0.5407,0.4706,817
21,saddlebrown,0.0,0.3646,0.6042,0.6235,1939
22,silver,0.0,0.0153,0.1327,0.2314,139
23,sienna,0.0,0.3567,0.5731,0.3294,896
24,peru,0.0,0.3476,0.5668,0.2667,761
25,peru,0.0,0.3251,0.5468,0.2039,742
26,darksalmon,0.0,0.2986,0.5204,0.1333,354
27,darkolivegreen,0.0,0.3649,0.6216,0.7098,2476
28,lightslategray,0.1154,0.0128,0.0,0.3882,208
29,darkolivegreen,0.0,0.3605,0.6279,0.6627,2338
30,sienna,0.0,0.4085,0.6408,0.4431,522
31,antiquewhite,0.0,0.0,0.103,0.0863,49
